Oportunitats;ID;Grau;Universitat;Poblacio;Plaçes orientatives;Nota;Anàlisi Musical (*);Arts Escèniques (*);Biologia;Ciències Generals (*);Cor i tècnica Vocal (*);Dibuix Artístic;Dibuix Tècnic;Dibuix Tècnic aplicat a les Arts;Disseny;Física;Fonaments Artístics (Historia de l'Art);Funcionament de l’Empresa i Models de Negoci (Empresa);Geografia;Geologia i Ciències Ambientals (*);Història de la Música i de la Dansa (*);Història de l'Art;Literatura Castellana (*);Literatura Catalana (*);Literatura Dramàtica (*);Llengua i Cultura Gregues (Grec) (*);Llengua i Cultura Llatines (Llatí) (*);Matemàtiques;Matemàtiques Aplicades;Moviments culturals i artístics (*);Química;Tècniques d’Expressió Graficoplàstica (*);Tecnologia
8;31083;Disseny i Desenvolupament de Videojocs (Docència en Anglès) (Campus Barcelona);UPC;Barcelona, Terrassa;30;5;;;;;;;0,2;;;0,2;;;;;;;;;;;;0,2;0,2;;;;0,2
8;81059;Disseny i Desenvolupament de Videojocs;UdG;Girona;40;6,406;;;;;;;0,2;;;0,2;;;;;;;;;;;;0,2;0,2;;;;0,2
7;11012;Dret;UB;Barcelona;430;9,516;;;;;;;;;;;;0,2;0,1;;;;;;;0,1;0,2;0,2;0,2;;;;
7;21086;Dret;UAB;Cerdanyola del Vallès;200;9,492;;;;;;;;;;;;0,2;0,1;;;;;;;0,1;0,2;0,2;0,2;;;;
7;41013;Dret;UPF;Barcelona;260;10,463;;;;;;;;;;;;0,2;0,1;;;;;;;0,1;0,2;0,2;0,2;;;;
7;61010;Dret;UdL;Lleida;115;7,98;;;;;;;;;;;;0,2;0,1;;;;;;;0,1;0,2;0,2;0,2;;;;
7;81015;Dret;UdG;Girona;155;8,408;;;;;;;;;;;;0,2;0,1;;;;;;;0,1;0,2;0,2;0,2;;;;
7;71008;Dret;URV;Tarragona;135;8,42;;;;;;;;;;;;0,2;0,1;;;;;;;0,1;0,2;0,2;0,2;;;;
7;91053;"Dret ""ESERP""";UVic-UCC;Barcelona;90;5;;;;;;;;;;;;0,2;0,1;;;;;;;0,1;0,2;0,2;0,2;;;;
8;11064;Dret / Administració i Direcció d'Empreses (Simultaneïtat);UB;Barcelona;60;10,444;;;0,2;;;;;;;0,2;;0,2;0,2;;;;;;;0,1;0,2;0,2;0,2;;0,2;;
8;21098;Dret / Administració i Direcció d'Empreses (Simultaneïtat);UAB;Cerdanyola del Vallès;80;9,804;;;0,2;;;;;;;0,2;;0,2;0,2;;;;;;;0,1;0,2;0,2;0,2;;0,2;;
8;61035;Dret / Administració i Direcció d'Empreses (Simultaneïtat);UdL;Lleida;30;9,396;;;0,2;;;;;;;0,2;;0,2;0,2;;;;;;;0,1;0,2;0,2;0,2;;0,2;;
8;81053;Dret / Administració i Direcció d'Empreses (Simultaneïtat);UdG;Girona;10;9,838;;;0,2;;;;;;;0,2;;0,2;0,2;;;;;;;0,1;0,2;0,2;0,2;;0,2;;
8;71055;Dret / Administració i Direcció d'Empreses (Simultaneïtat);URV;Tarragona, Reus;25;7,639;;;0,2;;;;;;;0,2;;0,2;0,2;;;;;;;0,1;0,2;0,2;0,2;;0,2;;
8;41034;Dret / Administració i Direcció d'Empreses - Economia (Agrupació de Simultaneïtat);UPF;Barcelona;90;11,426;;;0,2;;;;;;;0,2;;0,2;0,2;;;;;;;0,1;0,2;0,2;0,2;;0,2;;
8;21104;Dret / Ciència Política i Gestió Pública (Simultaneïtat);UAB;Cerdanyola del Vallès;20;11,214;;;;;;;;;;;0,1;0,2;0,2;;;;;;;0,2;0,2;0,2;0,2;;;;
8;11065;Dret / Ciències Polítiques i de l'Administració (Simultaneïtat);UB;Barcelona;20;11,032;;;;;;;;;;;0,1;0,2;0,2;;;;;;;0,2;0,2;0,2;0,2;;;;
8;81054;Dret / Ciències Polítiques i de l'Administració (Simultaneïtat);UdG;Girona;15;9,556;;;;;;;;;;;0,1;0,2;0,2;;;;;;;0,2;0,2;0,2;0,2;;;;
8;11088;Dret / Criminologia (Simultaneïtat);UB;Barcelona;No encontrado;NS;;;;0,2;;;;;;;;0,2;0,2;;;;;;;0,1;0,2;0,2;0,2;;;;
8;21108;Dret / Criminologia (Simultaneïtat);UAB;Cerdanyola del Vallès;25;10,826;;;;0,2;;;;;;;;0,2;0,2;;;;;;;0,1;0,2;0,2;0,2;;;;
